station_id,avg_daily_traffic,yearly_traffic,distance lights to station in feet,lights_lat,lights_long,no. of lights
Station_id 119030,31931,11655051,26428.20673,32.76363183,-117.1392463,20686
Station_id 119030,31931,11655051,25434.83266,32.75931179,-117.146164,20686
Station_id 119030,31931,11655051,25437.21661,32.75931404,-117.1461814,20686
Station_id 119030,31931,11655051,25455.72086,32.75931763,-117.1463688,20686
Station_id 119030,31931,11655051,25454.77602,32.75931989,-117.1463501,20686
Station_id 119030,31931,11655051,25670.59975,32.75992116,-117.1464153,20686
Station_id 119030,31931,11655051,26374.56672,32.76199436,-117.1461827,20686
Station_id 119030,31931,11655051,26459.09771,32.76262285,-117.1445884,20686
Station_id 119030,31931,11655051,26484.21428,32.76300017,-117.1432364,20686
Station_id 119030,31931,11655051,26448.51358,32.7629187,-117.1431476,20686
Station_id 119030,31931,11655051,26425.66977,32.76287644,-117.1430454,20686
Station_id 119030,31931,11655051,26412.276,32.7628737,-117.1428834,20686
Station_id 119030,31931,11655051,26400.05315,32.76287895,-117.1426984,20686
Station_id 119030,31931,11655051,26324.81485,32.76239138,-117.1439421,20686
Station_id 119030,31931,11655051,26123.48748,32.76087659,-117.1477003,20686
Station_id 119030,31931,11655051,25283.91376,32.72940257,-117.1912044,20686
Station_id 119030,31931,11655051,24276.39633,32.72878082,-117.1878124,20686
Station_id 119030,31931,11655051,25602.87286,32.74230176,-117.1804287,20686
Station_id 119030,31931,11655051,25869.91076,32.74169922,-117.1823296,20686
Station_id 119030,31931,11655051,25140.3308,32.72903878,-117.1909245,20686
Station_id 119030,31931,11655051,23408.96545,32.72881737,-117.1844208,20686
Station_id 119030,31931,11655051,24511.18561,32.73968451,-117.1785197,20686
Station_id 119030,31931,11655051,25219.18089,32.72937991,-117.1909743,20686
Station_id 119030,31931,11655051,25201.32233,32.72904772,-117.1911499,20686
Station_id 119030,31931,11655051,24523.10923,32.73956734,-117.1787082,20686
Station_id 119030,31931,11655051,24354.95233,32.7288072,-117.1880944,20686
Station_id 119030,31931,11655051,25790.31451,32.74615164,-117.1764394,20686
Station_id 119030,31931,11655051,25403.55568,32.74511157,-117.1759457,20686
Station_id 119030,31931,11655051,25610.64005,32.74526416,-117.1767539,20686
Station_id 119030,31931,11655051,26154.89679,32.74571268,-117.178797,20686
Station_id 119030,31931,11655051,24770.75424,32.74350616,-117.1750023,20686
Station_id 119030,31931,11655051,24594.02694,32.74207153,-117.1760162,20686
Station_id 119030,31931,11655051,24364.68059,32.74201803,-117.1749913,20686
Station_id 119030,31931,11655051,24669.0769,32.74311695,-117.1750239,20686
Station_id 119030,31931,11655051,23978.19645,32.74026141,-117.1753806,20686
Station_id 119030,31931,11655051,23635.41583,32.73900152,-117.1753242,20686
Station_id 119030,31931,11655051,23189.216,32.73746804,-117.1750987,20686
Station_id 119030,31931,11655051,23282.22551,32.73766615,-117.1752902,20686
Station_id 119030,31931,11655051,23603.25888,32.73838903,-117.1759054,20686
Station_id 119030,31931,11655051,23998.87193,32.73921851,-117.1767351,20686
Station_id 119030,31931,11655051,24419.26384,32.74027794,-117.1774053,20686
Station_id 119030,31931,11655051,24445.01251,32.74078353,-117.1769159,20686
Station_id 119030,31931,11655051,24735.51794,32.74164934,-117.1772094,20686
Station_id 119030,31931,11655051,24573.7896,32.74066368,-117.1776553,20686
Station_id 119030,31931,11655051,25146.80146,32.74193919,-117.1787662,20686
Station_id 119030,31931,11655051,24803.58968,32.74104086,-117.1782615,20686
